"Adiposity","Protein","estimate","sterror","z_value","p_value","n"
"arm_fat_free_mass_left_f23125_0_0","ADGRG1",0.134215111699136,0.00262041603332102,51.219008734669,0,49723
"arm_fat_free_mass_left_f23125_0_0","ADGRG2",-0.090776698373579,0.00271463642145058,-33.4397260923333,1.75428461281311e-242,49961
"arm_fat_free_mass_left_f23125_0_0","ADGRV1",0.000603099169511711,0.00273954284161296,0.220145916446637,0.825758585591576,42039
"arm_fat_free_mass_left_f23125_0_0","ADH1B",0.121232105147702,0.00273548565768548,44.3183113781255,0,42491
"arm_fat_free_mass_left_f23125_0_0","ADH4",0.140415968130545,0.00257965971038803,54.4319731649506,0,49046
"arm_fat_free_mass_left_f23125_0_0","ADIPOQ",-0.148302968174271,0.00304534485765861,-48.698250971909,0,43522
"arm_fat_free_mass_left_f23125_0_0","ADM",0.15637908527521,0.00265578116935888,58.8825190416426,0,50376
"arm_fat_free_mass_left_f23125_0_0","ADRA2A",-0.00546977956564658,0.00273245911501132,-2.00177910644563,0.0453149166387861,42016
"arm_fat_free_mass_left_f23125_0_0","AFAP1",0.00311683363380539,0.00274539575198552,1.13529484102655,0.256258212253919,42491
"arm_fat_free_mass_left_f23125_0_0","AFM",0.137877997194209,0.00264754853563683,52.077608904361,0,43522
"arm_fat_free_mass_left_f23125_0_0","AFP",-0.0223238728852169,0.00261801497579217,-8.52702260744788,1.54345193355109e-17,49411
"arm_fat_free_mass_left_f23125_0_0","AGBL2",0.000522611855799132,0.00273724339905873,0.190926337050934,0.848584228514413,42039
"arm_fat_free_mass_left_f23125_0_0","AGER",-0.0562209278983034,0.0025858116582635,-21.7420815312043,2.51450074645901e-104,49838
"arm_fat_free_mass_left_f23125_0_0","AGR2",-0.0152766275631775,0.00258719395398957,-5.90470905345934,3.55622053053987e-09,48399
"arm_fat_free_mass_left_f23125_0_0","AGR3",0.0696157532228957,0.00256252689649842,27.1668380605186,2.57695553111573e-161,48695
"arm_fat_free_mass_left_f23125_0_0","AGRN",0.0878498787179025,0.00256546759456397,34.2432229134563,4.7592990427777e-254,50172
"arm_fat_free_mass_left_f23125_0_0","AGRP",0.0286291963418869,0.00259591946414445,11.0285379563277,2.99842033864241e-28,50503
